##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1107	32-33	0.21263502290399572
1107	34-35	0.1466158688840622
1107	36-37	0.22294664042960477
1107	38-39	0.16963913375287376
1107	40-41	0.14419055350067822
1107	42-43	0.10761335524237126
1107	44-45	0.20226547878397128
1107	46-47	0.16715799039682366
1107	48-49	0.1519135295230214
1107	50-51	0.14044061674125885
1107	52-53	0.16416375164259023
1107	54-55	0.15458333861089812
1107	56-57	0.14045322390565929
1107	58-59	0.13998398000897083
1107	60-61	0.1862280948548687
1107	62-63	0.2012360256500827
1107	64-65	0.1521894069766887
1107	66-67	0.1826666313671126
1107	68-69	0.09299335155936461
1107	70-71	0.18192918151810034
1107	72-73	0.3677460618343176
1107	74-75	0.3048386544265256
1107	76-77	0.18276318205520425
1107	78-79	0.33997243997099247
1107	80-81	0.45558629108301574
1107	82-83	0.3594548984774306
1107	84-85	0.44382206282863024
1107	86-87	0.42931286264929014
1107	88-89	0.6549029511391424
1107	90-91	0.6064202006509092
1107	92-93	0.8133950104520338
1107	94-95	0.8496172371966679
1107	96-97	0.7511708403172577
1107	98-99	0.9980818258066151
1107	100-101	0.6941122460400351
1108	1	-0.5439115812648936
1108	2	0.05984860638979583
1108	3	-0.09542560190850224
1108	4	0.053106208668083354
1108	5	0.16772355423950103
1108	6	0.16991113498969668
1108	7	0.24878938767500358
1108	8	0.23741457247437836
1108	9	0.14009879445421092
1108	10-11	0.11030780624796677
1108	12-13	0.0891770509283063
1108	14-15	0.06672079513671747
1108	16-17	0.13070350217681437
1108	18-19	0.06541565305260377
1108	20-21	0.14966466887124596
1108	22-23	0.14358423718337576
1108	24-25	0.1776064544307161
1108	26-27	0.16996989733022616
1108	28-29	0.20561524102394912
1108	30-31	0.18046762912192094
1108	32-33	0.2273090748318367
1108	34-35	0.06288799534322465
1108	36-37	0.05254396103393333
1108	38-39	0.05589745314034644
1108	40-41	0.00557358871049729
1108	42-43	-0.06407617546940969
